PR0daqBtaBT7,RSnd20A5Co0d,2025-12-16 18:24:53+05:30,,,5.00,,f,,partner,Howard,gb,,,,1,APPLICATION,2026-09-08 10:47:55.940369+05:30,,,f
PR0daqBtaBT7,RSNUuHWwdNjX,2025-11-05 03:49:28+05:30,,,1.00,,f,,,,,,,,2,APPLICATION,2026-09-08 10:48:03.681741+05:30,,,f
PR0iMwj9mmvd,RSVcm0OCaIdq,2026-07-16 18:34:50+05:30,"Very knowledgeable and professional guide! I was late and he was easy going about it. Easy walk around town. Not a huge fan of the market (really smelly), so could have done a flyby there.",en-gb,5.00,,t,viator,,Tavinder_H,"","Thank you for your kind review! It was a pleasure showing you around. I appreciate your feedback about the market—I’ll keep that in mind for future tours. Wishing you all the best, and I hope to see you again someday",en,2026-07-31 14:34:11+05:30,3,APPLICATION,2026-09-08 10:48:03.686671+05:30,,,f
PR0iMwj9mmvd,RSIPib00z3VA,2026-02-09 07:38:35+05:30,What a fabulous walking tour of Stone Town. My guide Ahmad had so much knowledge and stories to share. You simply must take the guided tour to enjoy the full experience and uncover the secrets of Stone Town's past.,en-gb,5.00,,t,viator,,Richard_E,"","Thank you for your wonderful words! 🌟

We’re so glad you enjoyed your Stone Town tour and Ahmad’s stories. He’ll be delighted to hear this. Hope to see you again soon",en,2026-02-20 08:32:58+05:30,4,APPLICATION,2026-09-08 10:48:08.116092+05:30,,,f
PR0iMwj9mmvd,RSqtxKYZubIj,2026-02-05 11:44:13+05:30,"We booked the tour last minute however this was not a problem.
Having booked the tour and established where our ships shuttle bus was dropping us off, I messaged our guide.
Ahmad was really quick to respond and happily changed our meeting point to fit in with our shuttle bus drop off point.  It all literally happened within a few minutes.
Ahmad was at our arranged meeting point today,and took us on a great walking tour of Stonetown.  He was incredibly informative and his English was good.  He not only gave us the history of Zanzibar but filled in the gaps in our knowledge of Tanzania.
We spent 3 very hot but really interesting hours winding in and out of the historic town, pausing for photos and generally having a great time.
We would thoroughly recommend Ahmad if youre looking for an informative walking tour of Stonetown.",en-gb,5.00,,t,viator,,Sandra_S,"","Thank you very much for your kind review. It was a pleasure showing you around Stone Town, and I’m really glad you enjoyed the walking tour and learning about the history of Zanzibar and Tanzania.

I truly appreciate your recommendation and wish you all the best in your travels. You’re always welcome back to Zanzibar! 😊",en,2026-02-05 22:53:47+05:30,5,APPLICATION,2026-09-08 10:48:08.121567+05:30,,,f
PR0iMwj9mmvd,RSCiDpIqF5vk,2025-09-05 15:49:38+05:30,We had a really great city tour with Ahmed who’s knowledge of Stone Town really brought the place to life and helped us to understand the buildings and architecture alongside the history. Can thoroughly recommend ,en-gb,5.00,,t,viator,,Ian_D,"","Thank you so much for your wonderful feedback! We’re delighted to hear that Ahmed’s knowledge and guidance made your Stone Town tour enjoyable and insightful. Your recommendation means a lot to us, and we hope to welcome you on another tour in the future.",en,2025-09-08 12:47:40+05:30,6,APPLICATION,2026-09-08 10:48:08.125995+05:30,,,f
PR0iMwj9mmvd,RSoxp80oBPhy,2025-01-28 06:21:32+05:30,"Booked a walking tour of Stone Town with Ahmed and we both really enjoyed the tour. He paced it according to our interests and gave us a lot of information on the rich history, culture and the current struggles Zanzibarians are facing. We finished off and said goodbye at the Freddy Mercury Museum which we viewed independently.
We originally booked the 1 pm tour but changed it to the 9 am, it was already very hot so we highly recommend the morning if you are there during their hot summer season.",en-gb,5.00,,t,viator,,KerryBrown,"","Thank you so much for joining the Stone Town walking tour and for your thoughtful feedback!
I’m really glad to hear you both enjoyed the experience and found the historical and cultural insights meaningful. Adjusting the pace to your interests is always a priority — it’s your journey, and I’m here to make it enriching and comfortable. Great call on switching to the morning slot — the heat can be intense! Wishing you all the best in your travels, and you’re always welcome back to Zanzibar!

Ahmad😊",en,2025-07-18 10:26:01+05:30,7,APPLICATION,2026-09-08 10:48:08.12977+05:30,,,f
PR0y3jiKVR3C,RSJI04E5xA93,2025-11-23 19:19:00+05:30,Congratulations for this beautiful visit very rewarding and full of anecdotes. George is a passionate and attentive guide. He was on time and advised us for memories. He waited for us during our shopping and photo breaks.,en-gb,5.00,,t,viator,,Zoya_R,"","Merci beaucoup pour Les commetaires et accepté mes services.
Bienvenue encore et toujours je vous accuille.",fr,2025-11-24 19:26:38+05:30,8,APPLICATION,2026-09-08 10:48:08.133416+05:30,,,f
PR16s2BqopQB,RSMWuSk0E94p,2026-09-05 20:15:28+05:30,"2 monuments compris dans la visite n''ont pas pu être visités, car en travaux et donc fermés au publique de longue date.",fr,4.00,,t,,partner,,,,,,9,APPLICATION,2026-09-08 10:48:19.345643+05:30,,,f
PR16s2BqopQB,RScnsyc36Zn5,2026-08-27 10:48:09+05:30,The guide was excellent amazing amount of knowledge of Zanzibar and its history the boat trip to prison island was great and the tortoise stole the show all in all lots was a exceptional day out,en-gb,5.00,,t,,partner,,,,,,10,APPLICATION,2026-09-08 10:48:23.875746+05:30,,,f
